objID,SG1_votes,SG2_prob,SG3_timescale_class,SG3_timescale_peak,SG3_prob_1,SG3_prob_2,SG3_prob_3,SG3_prob_4,SG3_lower_bound,SG3_upper_bound,PROBABILITY_FLAG
587729408073466024,0,0.0,4,10,0.624403,0.0605126,0.0423254,0.272759,8.88178,10.0,0
587729408073466038,3,0.0025,4,10,0.0395686,0.0866485,0.261341,0.612442,8.1725,10.0,0
587729408073531561,4,0.0009,4,10,0.204863,0.158953,0.216772,0.419411,7.87074,10.0,0
587729408073531576,1,0.1346,4,9,0.00935936,0.0508284,0.279344,0.660468,7.91871,10.0,0
587729408073597144,20,0.0498,4,10,0.0904102,0.228146,0.340326,0.341119,2.80711,9.29288,0
587729408073597171,0,0.0642,4,10,0.00732908,0.0270735,0.0995335,0.866064,9.01689,10.0,0
587729408073728027,0,0.573,4,10,0.0323949,0.0477774,0.17214,0.747688,8.70471,10.0,0
587729408073728132,0,0.2323,4,10,0.250934,0.0389827,0.0498073,0.660276,9.27033,10.0,0
587729408073728147,5,0.0,4,10,0.315391,0.0402185,0.0560115,0.588379,9.37621,10.0,0
587729408073793736,0,0.0372,4,10,0.0465887,0.141977,0.300999,0.510435,7.79671,10.0,0
587729408073793739,0,0.0024,4,10,0.0401633,0.0498724,0.112331,0.797633,9.13153,10.0,0
587729408073859323,0,0.0008,1,0,0.699171,0.231243,0.0305658,0.0390198,0.0,2.6518,0
587729408073859337,0,0.8484,4,10,0.0836164,0.0567686,0.142306,0.717309,8.91491,10.0,0
587729408073924687,18,0.001,4,10,0.154037,0.200971,0.268106,0.376886,7.22059,10.0,0
587729408073924811,0,0.0881,4,10,0.011482,0.0152126,0.0786749,0.89463,9.11954,10.0,0
587729408073990210,11,0.1261,4,10,0.389141,0.159106,0.171035,0.280718,7.46263,10.0,0
587729408073990295,17,0.9108,2,1,0.11965,0.707232,0.14546,0.0276587,0.189591,2.26114,1
587729408073990306,0,0.3074,4,10,0.207522,0.169574,0.179351,0.443554,8.29957,10.0,0
587729408074121308,8,0.7969,4,10,0.167618,0.188396,0.239301,0.404685,7.4272,10.0,0
587729408074121405,1,0.9612,4,9,0.0150588,0.0564488,0.246423,0.68207,7.05288,10.0,0
587729408074121427,1,0.6462,4,10,0.0855496,0.125177,0.232147,0.557126,8.04336,10.0,0
587729408074121458,0,0.9151,4,10,0.0441368,0.0306863,0.0939193,0.831258,9.04921,10.0,0
587729408074121459,2,0.0641,4,10,0.288803,0.122642,0.150025,0.43853,8.3411,10.0,0
587729408074121486,2,0.2538,4,10,0.0043961,0.0190975,0.160012,0.816494,8.59945,10.0,0
587729408074186860,7,0.5811,4,10,0.0980346,0.224625,0.314992,0.362349,7.01357,10.0,0
587729408074252301,0,0.1901,4,10,0.0114854,0.0193371,0.140538,0.828639,8.81881,10.0,0
587729408074252437,6,0.376,4,10,0.0399474,0.093612,0.270958,0.595482,6.81287,10.0,0
587729408074252441,14,0.3918,4,10,0.0796296,0.178191,0.310192,0.431987,7.24433,10.0,0
587729408074252470,0,0.0049,4,10,0.00809726,0.0171828,0.0835698,0.89115,9.07863,10.0,0
587729408074252486,0,0.0078,4,10,0.0942987,0.116132,0.238216,0.551353,8.1893,10.0,0
587729408074252512,19,0.0012,4,10,0.0643782,0.132767,0.300103,0.502751,7.70959,10.0,0
587729408074317910,0,0.1426,4,10,0.0177237,0.0435612,0.117747,0.820968,8.97587,10.0,0
587729408074317959,3,0.0104,4,10,0.0285559,0.0566302,0.197756,0.717058,8.44779,10.0,0
587729408074317988,0,0.0,4,10,0.172204,0.0527976,0.0676444,0.707354,9.2449,10.0,0
587729408074318006,0,0.0021,4,10,0.122154,0.0983143,0.140175,0.639357,9.0373,10.0,0
587729408074449025,0,0.3699,4,10,0.00569558,0.0195137,0.0491993,0.925591,9.21134,10.0,0
587729408074449041,18,0.4322,4,9,0.0191676,0.096518,0.313921,0.570393,6.75919,10.0,0
