objID,SG1_votes,SG2_prob,SG3_timescale_class,SG3_timescale_peak,SG3_timescale_peak_prob,PROBABILITY_FLAG
587722953304572365,0,0.0059,4,10,0.240448,0
587722953304637937,0,0.0074,4,10,0.470637,0
587722953304703350,0,0.0009,4,10,0.350762,0
587722953304834385,0,0.0002,4,10,0.440835,0
587722953304900023,0,0.0078,4,10,0.305952,0
587722953572286724,0,0.5363,4,10,0.111728,0
587722953840787640,0,0.1693,4,9,0.134207,0
587722953840918780,0,0.0401,4,10,0.183755,0
587722953840984474,0,0.0004,4,10,0.30632,0
587722953840984479,4,0.4027,4,10,0.154203,0
587722953841049850,0,0.0073,4,10,0.227365,0
587722953841050064,0,0.006,4,10,0.165772,0
587722953841115586,0,0.6832,4,10,0.407023,0
587722953841115614,0,0.4528,4,10,0.276164,0
587722953841246538,3,0.2668,4,10,0.200907,0
587722953841312162,0,0.0197,4,10,0.41598,0
587722953841377570,0,0.1031,4,10,0.328511,0
587722953841442929,9,0.7412,4,10,0.166942,0
587722953841508636,7,0.7587,3,3,0.13912,0
587722953841508803,0,0.0001,4,10,0.355959,0
587722953841639724,0,0.0058,4,10,0.33772,0
587722953841705370,14,0.0646,4,9,0.158759,0
587722953841770855,0,0.0003,4,10,0.283602,0
587722953841770931,0,0.0045,2,1,0.165891,0
587722954109157641,0,0.2308,4,10,0.309336,0
587722954109157681,16,0.7519,4,6,0.129348,1
587722954109157808,0,0.0054,2,1,0.233591,0
587722981734285420,0,0.0017,4,10,0.142799,0
587722981734285458,3,0.0005,4,10,0.223032,0
587722981737431161,0,0.0001,4,10,0.138968,0
587722981740904524,0,0.5643,3,4,0.113551,0
587722981741363294,19,0.6418,3,4,0.131633,0
587722981741363323,1,0.3974,4,10,0.322497,0
587722981741363332,14,0.0084,4,9,0.116632,0
587722981741428748,2,0.0323,4,10,0.110542,0
587722981741428877,6,0.0028,1,0,0.430346,0
587722981741559888,12,0.1036,4,10,0.112822,0
587722981741559942,0,0.0001,4,10,0.311673,0
587722981741559949,20,0.9104,4,6,0.139936,1
587722981741559984,7,0.0023,3,4,0.113881,0
587722981741625481,0,0.0553,1,0,0.237985,0
587722981741625484,17,0.0955,1,0,0.122474,0
587722981741625520,0,0.3922,4,10,0.363853,0
587722981741625545,0,0.4215,4,10,0.416238,0
587722981741625547,0,0.8461,4,10,0.18509,0
587722981741625571,0,0.0,4,10,0.293992,0
587722981741756545,0,0.04,4,10,0.197916,0
587722981741756579,0,0.003,4,10,0.352428,0
587722981741822057,0,0.0352,4,10,0.175606,0
587722981741822062,0,0.1101,4,10,0.195568,0
587722981741822082,0,0.1666,4,10,0.295228,0
587722981741887560,10,0.1027,4,9,0.145514,0
587722981741887592,16,0.8469,4,10,0.139597,1
587722981741887597,0,0.0001,4,10,0.159881,0
587722981741887630,0,0.4429,4,10,0.156676,0
587722981741887707,7,0.0012,4,10,0.13682,0
587722981741953140,0,0.0029,4,10,0.166154,0
587722981742018624,0,0.0008,1,0,0.388106,0
587722981742018628,0,0.1187,4,10,0.280049,0
587722981742018657,0,0.0074,4,10,0.181738,0
587722981742018760,1,0.0035,4,10,0.195122,0
587722981742084303,6,0.2016,4,10,0.185817,0
587722981742149718,0,0.001,4,10,0.378095,0
587722981742149730,0,0.0149,1,0,0.41058,0
587722981742149756,2,0.2265,4,10,0.196827,0
587722981742215240,0,0.0,4,10,0.282142,0
587722981742215251,4,0.3474,4,10,0.240532,0
587722981742215305,8,0.9378,4,9,0.15158,0
587722981742280742,20,0.0449,4,6,0.108955,0
587722981742280762,0,0.0005,4,10,0.185695,0
587722981742280807,19,0.3513,3,3,0.159323,0
587722981742280821,19,0.071,4,10,0.137836,0
587722981742280825,0,0.0016,4,10,0.305707,0
587722981742280827,10,0.1475,4,6,0.118494,0
587722981742280828,0,0.1098,4,10,0.417041,0
587722981742280852,0,0.0037,4,10,0.312279,0
587722981742280865,0,0.0579,4,10,0.148814,0
587722981742280882,11,0.0061,4,9,0.118015,0
587722981742280893,20,0.0,4,10,0.118397,0
587722981742346376,0,0.0013,4,10,0.253429,0
587722981742346378,0,0.2,4,10,0.161999,0
587722981742411864,0,0.0003,1,0,0.347482,0
587722981742477511,0,0.001,1,0,0.22924,0
587722981742477514,10,0.0759,4,6,0.117838,0
587722981742542937,0,0.0003,4,10,0.259722,0
587722981742542953,0,0.0001,4,10,0.181871,0
587722981742542969,0,0.1719,4,10,0.289683,0
587722981742542976,0,0.0318,4,10,0.24566,0
587722981742542987,0,0.0483,4,10,0.189175,0
587722981742608474,0,0.0037,4,10,0.160464,0
587722981742608532,0,0.5197,3,3,0.10988,0
587722981742674044,0,0.6338,3,4,0.124009,0
587722981742805167,0,0.0028,4,10,0.171961,0
587722981742936201,0,0.0002,4,10,0.223099,0
587722981742936247,0,0.0009,4,10,0.283828,0
587722981742936326,0,0.0668,4,10,0.133119,0
587722981742936335,0,0.0018,4,10,0.35109,0
587722981743001771,0,0.0,4,10,0.185787,0
587722981743067266,0,0.0532,4,10,0.251605,0
587722981743067296,0,0.0008,1,0,0.1968,0
587722981743132829,0,0.0006,4,10,0.235567,0
587722981743198320,0,0.2443,2,1,0.208541,0
587722981743198327,0,0.8609,2,1,0.149984,0
587722981743198333,0,0.001,4,10,0.206102,0
587722981743198342,0,0.0465,4,10,0.231653,0
587722981743198442,0,0.0262,4,10,0.112811,0
587722981743198493,0,0.0054,1,0,0.12226,0
587722981743263813,1,0.0238,4,10,0.144763,0
587722981743263847,0,0.3027,4,10,0.222612,0
587722981743263878,0,0.2002,4,10,0.345103,0
587722981743263883,0,0.5274,4,10,0.183658,0
587722981743329440,0,0.0209,4,10,0.15304,0
587722981743329454,0,0.0,4,10,0.220652,0
587722981743329493,19,0.0004,2,1,0.282428,0
587722981743329501,10,0.0026,4,10,0.253506,0
587722981743394927,0,0.007,4,10,0.288643,0
587722981743394947,0,0.2347,4,10,0.344307,0
587722981743394964,4,0.6927,4,10,0.135589,0
587722981743394975,0,0.5624,4,10,0.340337,0
587722981743394985,0,0.0593,4,9,0.177438,0
587722981743526073,0,0.0032,4,10,0.17105,0
587722981743657087,0,0.3009,4,10,0.329831,0
587722981743657103,0,0.2884,4,10,0.389398,0
587722981743722704,0,0.0,1,0,0.396567,0
587722981743853730,0,0.0214,4,10,0.500419,0
587722981743853746,0,0.5018,4,10,0.181578,0
587722981743919220,0,0.1374,4,10,0.438842,0
587722981743984774,14,0.476,4,9,0.139338,0
587722981744050310,0,0.0203,4,10,0.269421,0
587722981744050315,0,0.0193,1,0,0.237149,0
587722981744050324,2,0.0735,4,10,0.201202,0
587722981744050355,0,0.0002,4,10,0.215751,0
587722981744115844,0,0.3493,3,4,0.0987863,0
587722981744115851,18,0.3173,4,6,0.127985,0
587722981744115871,0,0.0219,4,10,0.181073,0
587722981744181252,2,0.31,1,0,0.135091,0
587722981744181303,20,0.4024,4,10,0.119086,0
587722981744181387,20,0.2588,4,6,0.130731,0
587722981744377975,0,0.0065,4,10,0.231746,0
587722981744378094,0,0.0023,4,10,0.1203,0
587722981744443503,0,0.1613,4,10,0.148689,0
587722981744509013,2,0.0006,4,10,0.403909,0
587722981744509093,0,0.4091,4,9,0.130886,0
587722981744574668,0,0.2485,4,10,0.128438,0
587722981744640069,0,0.0418,4,10,0.151406,0
587722981744640156,0,0.0,4,10,0.159904,0
587722981744640177,0,0.0006,4,10,0.214847,0
587722981744705675,0,0.4324,4,10,0.399107,0
587722981744705719,4,0.5933,4,10,0.153822,0
587722981744771181,20,0.0128,4,10,0.133971,0
587722981744771190,18,0.1834,4,10,0.119871,0
587722981744771200,0,0.0018,4,10,0.338234,0
587722981744771215,0,0.5901,4,10,0.179035,0
587722981744771220,20,0.004,4,10,0.105937,0
587722981744771237,0,0.0013,4,10,0.164216,0
587722981744771250,20,0.0086,4,10,0.130401,0
587722981744771278,0,0.0308,4,10,0.186316,0
587722981744771287,0,0.0885,4,10,0.225591,0
587722981744836633,20,0.034,4,10,0.119486,0
587722981744836666,10,0.2975,4,6,0.102627,0
587722981744836740,3,0.5702,4,9,0.155753,0
587722981744836744,0,0.0127,4,10,0.320622,0
587722981744836751,0,0.6831,4,10,0.341365,0
587722981744836769,0,0.3113,4,9,0.145066,0
587722981744836773,0,0.0052,4,10,0.309509,0
587722981744836785,16,0.0096,1,0,0.411839,0
587722981744836798,12,0.6103,4,9,0.159961,1
587722981744902300,11,0.175,4,10,0.152935,0
587722981744902320,0,0.0058,4,10,0.282816,0
587722981744967759,12,0.0873,4,10,0.199173,0
587722981744967771,0,0.5579,4,10,0.463207,0
587722981744967809,20,0.9531,3,3,0.157224,1
587722981744967811,1,0.002,4,10,0.169121,0
587722981744967885,1,0.0,4,10,0.322392,0
587722981745033324,0,0.1139,4,10,0.324767,0
587722981745098866,0,0.0001,4,10,0.470127,0
587722981745098876,0,0.0087,1,0,0.265846,0
587722981745098894,0,0.0478,4,10,0.257538,0
587722981745098957,0,0.0,4,10,0.276071,0
587722981745164445,0,0.0007,4,10,0.579582,0
587722981745164467,0,0.0003,4,10,0.248041,0
587722981745164474,12,0.6987,4,6,0.134122,1
587722981745164484,0,0.5075,4,10,0.308187,0
587722981745229945,0,0.2142,4,10,0.152651,0
587722981745230031,0,0.0469,4,10,0.436873,0
587722981745230037,0,0.0942,4,10,0.434964,0
587722981745295552,0,0.061,4,10,0.150918,0
587722981745360921,0,0.5717,4,10,0.434428,0
587722981745361054,0,0.028,4,10,0.422651,0
587722981745361058,0,0.3311,4,10,0.489914,0
587722981745361063,16,0.0007,4,9,0.130017,0
587722981745361071,0,0.0613,4,10,0.325929,0
587722981745361088,1,0.0002,1,0,0.299359,0
587722981745426489,14,0.6686,2,1,0.136119,0
587722981745426524,0,0.0196,4,10,0.372984,0
587722981745426534,0,0.0252,4,10,0.567243,0
587722981745426592,11,0.3004,4,9,0.175186,0
587722981745492006,20,0.055,4,10,0.148614,0
587722981745492056,11,0.4751,4,9,0.13257,0
587722981745492114,0,0.0046,1,0,0.377468,0
587722981745492138,0,0.0672,4,10,0.349247,0
587722981745492147,0,0.0022,4,10,0.299467,0
587722981745492158,0,0.0215,4,10,0.205827,0
587722981745557634,0,0.4064,4,9,0.207763,0
587722981745557688,0,0.0146,4,10,0.264803,0
587722981745557690,0,0.0002,4,10,0.21634,0
587722981745623185,0,0.1999,4,10,0.172381,0
587722981745623237,0,0.0992,4,10,0.32691,0
587722981745623268,0,0.0502,4,10,0.360101,0
587722981745688711,0,0.0034,4,10,0.147174,0
587722981745688748,0,0.2023,4,10,0.439997,0
587722981745688772,0,0.4981,4,10,0.187422,0
587722981745754241,14,0.217,3,4,0.115612,0
587722981745754253,0,0.0967,4,10,0.145656,0
587722981745754286,0,0.0003,4,10,0.252638,0
587722981745885383,0,0.2325,4,10,0.355689,0
587722981745950907,0,0.0019,4,9,0.104898,0
587722981746016481,0,0.0,4,10,0.251846,0
587722981746081904,0,0.0002,4,10,0.29831,0
587722981746212932,18,0.048,4,9,0.125026,0
587722981746212998,19,0.3373,4,10,0.178013,0
587722981746213010,1,0.4748,4,6,0.137457,0
587722981746278558,0,0.0512,2,1,0.28304,0
587722981746278567,11,0.2413,4,9,0.192431,0
587722981746344041,17,0.6925,3,4,0.136427,0
587722981746344053,0,0.0029,4,10,0.438609,0
587722981746344056,0,0.4745,4,10,0.196292,0
587722981746344080,18,0.0059,4,9,0.129681,0
587722981746409530,0,0.2133,4,10,0.33005,0
587722981746409653,0,0.0,4,10,0.298789,0
587722981746409671,0,0.0057,4,10,0.525581,0
587722981746475096,17,0.4044,4,10,0.152408,0
587722981746475177,20,0.0091,4,10,0.163854,0
587722981746475183,0,0.0023,4,10,0.396339,0
587722981746540704,0,0.0847,4,10,0.37681,0
587722981746540707,0,0.0033,4,10,0.424065,0
587722981746606190,19,0.6756,4,10,0.144228,1
587722981746606197,0,0.212,4,10,0.127939,0
587722981746606268,0,0.0006,4,10,0.394769,0
587722981746671826,0,0.1711,4,10,0.405339,0
587722981746671830,0,0.1996,4,10,0.478446,0
587722981746671852,0,0.0011,4,10,0.478809,0
587722981746671860,0,0.1257,4,10,0.510911,0
587722981746671875,8,0.7265,2,2,0.151303,0
587722981746671877,0,0.9703,4,9,0.175768,0
587722981746671972,0,0.0409,4,10,0.391047,0
587722981746737325,0,0.0,4,10,0.25857,0
587722981746802823,11,0.8898,3,3,0.169002,0
587722981746933802,20,0.7267,2,1,0.161056,0
587722981746933936,0,0.1188,4,10,0.154861,0
587722981746933948,15,0.6454,4,10,0.146299,1
587722981746999480,0,0.3753,4,10,0.156948,0
587722981746999500,0,0.1749,4,10,0.470468,0
587722981747064844,0,0.0061,4,10,0.219257,0
587722981747130478,0,0.3035,4,10,0.136269,0
587722981747195957,0,0.4987,4,9,0.102213,0
587722981747196080,0,0.0205,4,10,0.277734,0
587722981747392587,0,0.001,4,10,0.248908,0
587722981747392712,0,0.009,4,10,0.169045,0
587722981747392802,0,0.0049,4,10,0.164608,0
587722981747458159,0,0.0058,4,10,0.249284,0
587722981747458177,0,0.339,4,10,0.4678,0
587722981747523734,0,0.0332,4,10,0.264558,0
587722981747589246,20,0.0116,1,0,0.265106,0
587722981747589290,0,0.0707,4,10,0.206485,0
587722981747589302,19,0.1894,3,5,0.122217,0
587722981747654739,1,0.1815,4,10,0.139609,0
587722981747654761,11,0.6604,4,6,0.136297,1
587722981747654822,0,0.0106,4,10,0.19815,0
587722981747654835,20,0.5548,4,6,0.128034,1
587722981747654857,0,0.0763,2,1,0.441474,0
587722981747720353,0,0.0077,1,0,0.108059,0
587722981747785818,15,0.6183,3,3,0.17486,0
587722981747785862,0,0.2093,4,10,0.344204,0
587722981747785880,0,0.1609,4,10,0.200152,0
587722981747785888,0,0.0921,4,10,0.263881,0
587722981747785921,0,0.0008,4,10,0.316852,0
587722981747785934,18,0.8046,4,10,0.138348,1
587722981747851406,2,0.1339,4,10,0.228125,0
587722981747851418,0,0.1322,4,10,0.282489,0
587722981747916880,0,0.9177,4,6,0.138564,0
587722981747916975,10,0.4283,4,10,0.156691,0
587722981747916983,0,0.002,4,10,0.283475,0
587722981747917003,1,0.0036,4,10,0.424521,0
587722981747982415,1,0.0001,4,10,0.296983,0
587722981747982424,4,0.4698,4,10,0.229703,0
587722981747982438,0,0.0392,4,10,0.308323,0
587722981747982465,0,0.0,4,10,0.271435,0
587722981747982474,0,0.0084,4,10,0.294786,0
587722981747982489,0,0.0,4,10,0.264611,0
587722981747982494,0,0.0645,4,10,0.214217,0
587722981747982503,10,0.2775,4,6,0.122075,0
587722981747982517,0,0.0013,4,10,0.258887,0
587722981748047894,20,0.9255,1,0,0.575245,1
587722981748047983,0,0.0481,4,10,0.111074,0
587722981748047990,0,0.633,4,10,0.281884,0
587722981748048000,0,0.4135,4,10,0.206409,0
587722981748048006,0,0.0013,4,10,0.300982,0
587722981748048007,2,0.3873,4,9,0.133421,0
587722981748048020,0,0.0073,4,10,0.41047,0
587722981748048047,0,0.0,4,10,0.192177,0
587722981748113544,0,0.053,4,10,0.352929,0
587722981748113562,0,0.7528,4,10,0.26364,0
587722981748113565,0,0.0006,4,10,0.286543,0
587722981748113567,12,0.0001,4,10,0.168779,0
587722981748113568,0,0.0155,4,10,0.124536,0
587722981748179087,0,0.077,4,10,0.32348,0
587722981748179113,0,0.1933,4,10,0.264387,0
587722981748179117,0,0.0008,4,10,0.207905,0
587722981748179130,0,0.0024,4,10,0.440764,0
587722981748179149,0,0.0001,4,10,0.366712,0
587722981748179187,0,0.3265,4,10,0.165536,0
587722981748244631,0,0.3612,4,10,0.190757,0
587722981748244660,0,0.006,4,10,0.308371,0
587722981748310107,20,0.0001,4,10,0.106085,0
587722981748310134,0,0.1147,2,1,0.166172,0
587722981748310181,0,0.0015,4,10,0.237309,0
587722981748375756,0,0.0091,4,10,0.287141,0
587722981748375801,15,0.388,4,6,0.141093,0
587722981748441182,3,0.5849,4,10,0.177784,0
587722981748441227,6,0.0352,4,10,0.156911,0
587722981748506764,0,0.1403,4,10,0.169847,0
587722981748506817,17,0.2756,4,6,0.129824,0
587722981748506834,20,0.0183,2,1,0.326301,0
587722981748572205,19,0.5365,4,9,0.137111,1
587722981748572353,6,0.2678,4,10,0.167725,0
587722981748572382,0,0.0001,4,10,0.197115,0
587722981748637919,0,0.0001,1,0,0.18816,0
587722981748703283,10,0.5302,4,6,0.116503,0
587722981748703419,19,0.8559,2,2,0.179414,0
587722981748703487,0,0.2527,4,10,0.181097,0
587722981748703506,0,0.9433,4,10,0.161751,0
587722981748768907,0,0.3472,4,10,0.208634,0
587722981748768912,0,0.5403,4,10,0.246392,0
587722981748768928,0,0.6357,4,10,0.174534,0
587722981748768939,0,0.6265,4,10,0.262958,0
587722981748768945,1,0.1013,4,10,0.165204,0
587722981748769011,0,0.1087,4,10,0.259375,0
587722981748834403,0,0.0,4,10,0.303522,0
587722981748834455,0,0.058,4,10,0.191271,0
587722981748834475,0,0.027,4,10,0.309436,0
587722981748834513,0,0.0283,4,10,0.22128,0
587722981748899907,1,0.2402,4,10,0.249933,0
587722981748899958,0,0.0264,4,10,0.366337,0
587722981748899977,2,0.0226,3,4,0.120677,0
587722981748899998,20,0.7041,3,4,0.134713,0
587722981748900028,0,0.0006,4,10,0.267952,0
587722981748965446,0,0.0013,4,10,0.406681,0
587722981748965483,17,0.0603,4,10,0.132525,0
587722981748965608,0,0.8304,4,10,0.199145,0
587722981748965622,0,0.0315,4,10,0.179578,0
587722981748965649,0,0.0018,4,10,0.183632,0
587722981749030995,0,0.0193,4,10,0.155684,0
587722981749031028,0,0.0862,4,10,0.246753,0
587722981749031034,0,0.0043,4,10,0.383009,0
587722981749096597,0,0.7402,4,10,0.188022,0
587722981749096646,0,0.0005,4,10,0.171595,0
587722981749096716,0,0.0018,4,10,0.212286,0
587722981749162142,0,0.0002,4,10,0.198644,0
587722981749227627,0,0.0032,4,10,0.360763,0
587722981749227687,0,0.1277,1,0,0.112677,0
587722981749227714,0,0.4814,3,3,0.128791,0
587722981749293096,0,0.0257,4,10,0.157297,0
587722981749293136,0,0.0003,4,10,0.259213,0
587722981749358673,19,0.7412,4,6,0.107329,1
587722981749358755,0,0.5132,4,10,0.382152,0
587722981749358757,0,0.0006,4,10,0.30311,0
587722981749358771,7,0.7641,4,9,0.16653,0
587722981749424322,0,0.4063,4,10,0.158773,0
587722981749555310,0,0.2885,4,9,0.168116,0
587722981749555329,0,0.4319,4,10,0.180496,0
587722981749555366,0,0.0092,4,10,0.303002,0
587722981749555394,9,0.4467,4,10,0.222621,0
587722981749555407,0,0.0055,4,10,0.478144,0
587722981749620931,6,0.1668,4,10,0.125981,0
587722981749620964,0,0.0932,4,10,0.339597,0
587722981749686423,0,0.179,4,9,0.158033,0
